brand_name,handle_or_page,instagram_url,tiktok_url,website_url,dm_url,niche,market,notes,fit_score,fit_reason,status,first_seen,last_seen,source_urls
Jztang Art,@jztang_art,,https://www.tiktok.com/@jztang_art,,https://www.tiktok.com/@jztang_art,تجارة إلكترونية / محتوى,US,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
🦋Emanuelle Maia🦋,@🦋Emanuelle Maia🦋,,https://www.tiktok.com/@amwbaiqnajaj,,https://www.tiktok.com/@amwbaiqnajaj,تجارة إلكترونية / محتوى,BR,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
🌸Towwnimaaa 🌸,@🌸towwnimaaa_🌸,,https://www.tiktok.com/@towwnimaaa_,https://youtube.com/@rafiaislamtanima17,https://www.tiktok.com/@towwnimaaa_,تجارة إلكترونية / محتوى,BD,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Maria De Jesus Rodri,@Maria de Jesus Rodri,,https://www.tiktok.com/@dejrmaria83gmail.com,,https://www.tiktok.com/@dejrmaria83gmail.com,تجارة إلكترونية / محتوى,BR,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Géraud Zucchini,@Géraud Zucchini,,https://www.tiktok.com/@docgeraud,https://store.steampowered.com/app/1707400/Larcin_Lazer,https://www.tiktok.com/@docgeraud,تجارة إلكترونية / محتوى,FR,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Mari,@Mari,,https://www.tiktok.com/@marielysshez,,https://www.tiktok.com/@marielysshez,تجارة إلكترونية / محتوى,US,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Zmnlyc,@ZMNLYC,,https://www.tiktok.com/@zmnlyc,,https://www.tiktok.com/@zmnlyc,تجارة إلكترونية / محتوى,TR,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
😘Dj💖 Sumi🥰,@😘DJ💖 Sumi🥰,,https://www.tiktok.com/@djsumitra47,,https://www.tiktok.com/@djsumitra47,تجارة إلكترونية / محتوى,US,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
🇲🇾 M.T.F 🇲🇨 Nad Ratu Lagg,@🇲🇾 M.T.F 🇲🇨 NAD RATU LAGG,,https://www.tiktok.com/@nadyadanielly86,,https://www.tiktok.com/@nadyadanielly86,تجارة إلكترونية / محتوى,MY,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
مـغرورهہ🖤,@مـغرورهہ🖤,,https://www.tiktok.com/@p8_co,,https://www.tiktok.com/@p8_co,تجارة إلكترونية / محتوى,IQ,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
